question,questionLabel,included in safe data?
Q73_13,The following is a list of possible energy-saving /  behaviours.Â  Please indicate which behaviours you do always /  or almost always:-Open a few windows and doors at least once a day to air the house,
Q73_14,The following is a list of possible energy-saving /  behaviours.Â  Please indicate which behaviours you do always /  or almost always:-Clean windows regularly,
Q73_15,The following is a list of possible energy-saving /  behaviours.Â  Please indicate which behaviours you do always /  or almost always:-Prune trees to keep windows unshaded,
Q73_16,The following is a list of possible energy-saving /  behaviours.Â  Please indicate which behaviours you do always /  or almost always:-Monitor the temperature in living room(s),
Q73_17,The following is a list of possible energy-saving /  behaviours.Â  Please indicate which behaviours you do always /  or almost always:-Cover pots when cooking,
Q74_x1,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Turning off appliances at the wall,
Q74_x2,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Rinsing the dishes with cold water,
Q74_x3,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Reduce heating in unoccupied rooms,
Q74_x4,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Switching off lights in unused rooms,
Q74_x5,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Wait for a full load before using the washing machine,
Q74_x6,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Put on more clothing before turning up heating,
Q74_x7,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Keep household heating low to save energy (below 18Â°C),
Q74_x8,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Line drying of laundry,
Q74_x9,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Taking shorter showers,
Q74_x10,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Doing dishes by hand,
Q74_x11,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Pulling curtains at night,
Q74_x12,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Wash laundry on cold,
Q74_x13,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Open a few windows and doors at least once a day to air the house,
Q74_x14,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Clean windows regularly,
Q74_x15,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Prune trees to keep windows unshaded,
Q74_x16,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Monitor the temperature in living room(s),
Q74_x17,Please indicate which behaviours you intend to do always or almost / always in the next 12 months:-Cover pots when cooking,
Q75_1,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Double glazing,
Q75_2,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Ceiling insulation,
Q75_3,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Underfloor insulation,
Q75_4,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Wall insulation,
Q75_5,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Floor coverings (carpet/rugs),
Q75_6,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Solar hot water panels,
Q75_7,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Solar electricity panels,
Q75_8,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Micro windfarm,
Q75_9,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Water proof membrane between ground and house,
Q75_10,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Heat pump,
Q75_11,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Heat pump hot water cylinder,
Q75_12,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Timers on heaters,
Q75_13,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Externally vented drier,
Q75_14,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Externally vented cooking rangehood,
Q75_15,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Low flow shower head,
Q75_16,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Washing line outside,
Q75_17,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Energy efficient light bulbs in all main rooms,
Q75_18,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Thermally lined/heavy curtains installed,
Q75_19,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Wrap installed on hot water cylinder,
Q75_20,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Lagging (insulation) on hot water pipes,
Q75_21,The following is a list of possible energy saving changes that can / be done to a house. Please indicate which items are currently in / your house-Heat transfer system between rooms,
Q76_x1,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Double glazing,
Q76_x2,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Ceiling insulation,
Q76_x3,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Underfloor insulation,
Q76_x4,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Wall insulation,
Q76_x5,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Floor coverings (carpet/rugs),
Q76_x6,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Solar hot water panels,
Q76_x7,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Solar electricity panels,
Q76_x8,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Micro windfarm,
Q76_x9,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Water proof membrane between ground and house,
Q76_x10,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Heat pump,
Q76_x11,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Heat pump hot water cylinder,
Q76_x12,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Timers on heaters,
Q76_x13,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Externally vented drier,
Q76_x14,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Externally vented cooking rangehood,
Q76_x15,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Low flow shower head,
Q76_x16,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Washing line outside,
Q76_x17,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Energy efficient light bulbs in all main rooms,
Q76_x18,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Thermally lined/heavy curtains installed,
Q76_x19,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Wrap installed on hot water cylinder,
Q76_x20,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Lagging (insulation) on hot water pipes,
Q76_x21,Which of the following energy saving modifications do you intend to / undertake in the next 12 months? -Heat transfer system between rooms,
Q77_xx1,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Double glazing,
Q77_xx2,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Ceiling insulation,
Q77_xx3,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Underfloor insulation,
Q77_xx4,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Wall insulation,
Q77_xx5,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Floor coverings (carpet/rugs),
Q77_xx6,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Solar hot water panels,
Q77_xx7,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Solar electricity panels,
Q77_xx8,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Micro windfarm,
Q77_xx9,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Water proof membrane between ground and house,
Q77_xx10,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Heat pump,
Q77_xx11,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Heat pump hot water cylinder,
Q77_xx12,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Timers on heaters,
Q77_xx13,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Externally vented drier,
Q77_xx14,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Externally vented cooking rangehood,
Q77_xx15,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Low flow shower head,
Q77_xx16,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Washing line outside,
Q77_xx17,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Energy efficient light bulbs in all main rooms,
Q77_xx18,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Thermally lined/heavy curtains installed,
Q77_xx19,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Wrap installed on hot water cylinder,
Q77_xx20,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Lagging (insulation) on hot water pipes,
Q77_xx21,Which of the following energy saving modifications do you intend to / undertake in the next 5 years?-Heat transfer system between rooms,
Q78,Have you made a change recently to help your household use energy / more efficiently? (Within the last year),
Q79_1,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)- Family member,
Q79_2,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)- Friend,
Q79_3,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Work colleague,
Q79_4,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Neighbour,
Q79_5,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Another member of the community,
Q79_6,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Builder/plumber,
Q79_7,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Building inspector,
Q79_8,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Television and/or print campaigns,
Q79_9,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Other,
Q79_10,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-No one helped me,
Q79_12,Who helped you make decisions about the most recent energy-related / change to your house? (tick all that apply)-Internet sources,
Q80,Please specify the other who helped you make decisions about your / most recent energy-related change to your house,
Q81_1,Do you agree or disagree with the following statements?-I only buy appliances with high energy efficiency ratings even if they cost more,
Q81_2,Do you agree or disagree with the following statements?-I donâ€™t think very much about ways of saving energy in my own home,
Q81_3,Do you agree or disagree with the following statements?-I donâ€™t pay much  attention to what my energy bill is each month,
Q81_4,Do you agree or disagree with the following statements?-I find it hard to find information about energy efficiency around the home,
Q81_5,Do you agree or disagree with the following statements?-Itâ€™s difficult to know what information to trust in  regards to energy efficiency,
Q81_6,Do you agree or disagree with the following statements?-Making choices about energy efficiency in the home is complex,
Q81_7,Do you agree or disagree with the following statements?-I am confident I can invest the time and effort to make changes towards being energy efficient,
Q81_8,Do you agree or disagree with the following statements?-I know where to find the right information about being energy efficient,
Q82,Which of the following statements best describes your overall / attitude to energy usage,
Q83,Which of the remaining statements best describes your overall / attitude to energy usage,
Q84,Does anyone in your household suffer from an illness that requires / use of energy?,
Q85_1,Please indicate below what extra health energy use is required for: / (tick all that apply)-Washing,
Q85_2,Please indicate below what extra health energy use is required for: / (tick all that apply)-Heating,
Q85_3,Please indicate below what extra health energy use is required for: / (tick all that apply)-Drying,
Q85_4,Please indicate below what extra health energy use is required for: / (tick all that apply)-Operating health or medical appliances,
Q85_5,Please indicate below what extra health energy use is required for: / (tick all that apply)-Other,
Q86,Please specify the other extra health energy use required.,
Q87,Is your workplace concerned about energy consumption?,
Q88_1,Please indicate the degree to which you agree or disagree with all / of the following statements:-We are approaching the limit of the number of people the Earth can support.,
Q88_2,Please indicate the degree to which you agree or disagree with all / of the following statements:-Humans have the right to modify the natural environment to suit their needs.,
Q88_3,Please indicate the degree to which you agree or disagree with all / of the following statements:-When humans interfere with nature it often produces disastrous consequences.,
Q88_4,Please indicate the degree to which you agree or disagree with all / of the following statements:-Human ingenuity will ensure that we do not make the Earth unlivable.,
Q88_5,Please indicate the degree to which you agree or disagree with all / of the following statements:-Humans are seriously abusing the environment.,
Q88_6,Please indicate the degree to which you agree or disagree with all / of the following statements:-The Earth has plenty of natural resources if we just learn how to develop them.,
Q88_7,Please indicate the degree to which you agree or disagree with all / of the following statements:-Plants and animals have as much right as humans to exist.,
Q88_8,Please indicate the degree to which you agree or disagree with all / of the following statements:-The balance of nature is strong enough to cope with the impacts of modern industrial nations.,
Q88_9,"Please indicate the degree to which you agree or disagree with all / of the following statements:-Despite our special abilities, humans are still subject to the laws of nature.",
Q88_10,Please indicate the degree to which you agree or disagree with all / of the following statements:-The so-called â€œecological crisisâ€ facing humankind has been greatly exaggerated.,
Q88_11,Please indicate the degree to which you agree or disagree with all / of the following statements:-The Earth is like a spaceship with very limited room and resources.,
Q88_12,Please indicate the degree to which you agree or disagree with all / of the following statements:-Humans were meant to rule over the rest of nature.,
Q88_13,Please indicate the degree to which you agree or disagree with all / of the following statements:-The balance of nature is very delicate and easily upset.,
Q88_14,Please indicate the degree to which you agree or disagree with all / of the following statements:-Humans will eventually learn enough about how nature works to be able to control it.,
Q88_15,"Please indicate the degree to which you agree or disagree with all / of the following statements:-If things continue on their present course, we will soon experience a major ecological catastrophe.",
Q89_1,"If the government is going to take a lead in order to improve / energy efficiency in NZ households, how do you feel about them / using the following measures?-Applying energy standards that require minimum  levels of energy efficiency on most appliances     ",
Q89_2,"If the government is going to take a lead in order to improve / energy efficiency in NZ households, how do you feel about them / using the following measures?-Ensuring energy information is provided by requiring labels on appliances that indicate typical energy usage     ",
Q89_3,"If the government is going to take a lead in order to improve / energy efficiency in NZ households, how do you feel about them / using the following measures?-Providing customised energy advice: free or low-cost information about energy efficiency improvements     ",
Q89_4,"If the government is going to take a lead in order to improve / energy efficiency in NZ households, how do you feel about them / using the following measures?-Providing financing at low or no-interest for energy efficiency  improvements     ",
Q89_5,"If the government is going to take a lead in order to improve / energy efficiency in NZ households, how do you feel about them / using the following measures?-Banning inefficient  technologies, such as incandescent light bulbs where more energy effective options exist     ",
Q89_6,"If the government is going to take a lead in order to improve / energy efficiency in NZ households, how do you feel about them / using the following measures?-Granting direct subsidies so that the cost of energy efficient technologies is shared",
Q91,Which statement best describes your attitude to electricity supply,
Q92_1,To what extent do you agree or disagree with each of the following / statements?-I am prepared to greatly reduce my energy use,
Q92_2,To what extent do you agree or disagree with each of the following / statements?-I am not able to reduce my energy use any further,
Q92_3,To what extent do you agree or disagree with each of the following / statements?-I want to reduce my energy use,
Q92_4,To what extent do you agree or disagree with each of the following / statements?-I am prepared to greatly reduce my energy use but only if I know others are doing the same,
Q92_5,To what extent do you agree or disagree with each of the following / statements?-I am prepared to greatly reduce my energy use if support is available to help me do this,
Q92_6,To what extent do you agree or disagree with each of the following / statements?-I am prepared to greatly reduce my energy use if that lowers my energy bills,
Q93_1,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-Which appliance is using the most electricity,
Q93_2,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-Electricity use by appliance,
Q93_3,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-How much you are spending on electricity at a given time,
Q93_4,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-Overall electricity use,
Q93_5,"Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-Patterns of electricity use over a day, week, month, years",
Q93_6,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-Electricity use by room,
Q93_7,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-Information about how much electricity is used on average by people in homes like yours,
Q93_8,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-None of these,
Q93_9,Please indicate whether you would be interested in obtaining any of / this information about your own electricity use. Please select as / many as you like.-Other,
Q94,"How much, if at all, do you think having this kind of information / would help you reduce your electricity use? ",
Q95,The information collected by smart meters would also be available / to your electricity supplier. How positively or negatively do you / feel about this?,
Q96_1,"Here are some examples of how energy use could be managed / differently. Please indicate your view towards the acceptability of / each of the following situations. -Appliances such as digital boxes, TVs and computers automatically turning off if they are left on standby for a considerable amount of time",
Q96_2,Here are some examples of how energy use could be managed / differently. Please indicate your view towards the acceptability of / each of the following situations. -Your shower turning off after a set period of time each time you use it (e.g. 10 minutes). You would have to manually turn it on again if you wish to continue showering for longer,
Q96_3,"Here are some examples of how energy use could be managed / differently. Please indicate your view towards the acceptability of / each of the following situations. -Setting your washing machine to wash clothes before a certain time rather than right away. For example, you would turn on your washing machine and set a time by when the cycle has to be finished, e.g. 10am the next morning. The electricity company would then determine the best time to turn the washing machine on, by sending a signal to the appliance",
Q96_4,"Here are some examples of how energy use could be managed / differently. Please indicate your view towards the acceptability of / each of the following situations. -Allowing your fridge, or fridge-freezer to be switched off by your electricity company for short periods of time (provided the temperature of the fridge/fridge-freezer remains within a certain specified range",
Q96_5,Here are some examples of how energy use could be managed / differently. Please indicate your view towards the acceptability of / each of the following situations. -Allowing your electricity company to decide when to heat your hot water cylinder while maintaining hot water,
Q97,How positively or negatively do you feel about your electricity / company controlling some of your appliances for the purpose of / balancing the electricity grid (such as avoiding peaks in / electricity...,
Q103_1,"How concerned, if at all, are you that in the next 5-10 years...-... electricity and gas will become unaffordable for you?",
Q103_2,"How concerned, if at all, are you that in the next 5-10 years...-... petrol and diesel will become unaffordable for you?",
Q103_3,"How concerned, if at all, are you that in the next 5-10 years...-... there will be frequent power cuts?",
Q103_4,"How concerned, if at all, are you that in the next 5-10 years...-... NZ will become too dependent on energy from other countries?",
Q103_5,"How concerned, if at all, are you that in the next 5-10 years...-... there will be a national petrol and/or diesel shortage?",
Q104,Please select which of the following statements best matches your / opinion about New Zealand's overall energy use.,
Q105,"To what extent, if any, do you think New Zealand's electricity / market is fair?",
Q106,How much do you trust your electricity supplier?,
Q107,To what extent do you agree or disagree that we in New Zealand need / to radically change how we produce and use energy by 2050? /  ,
Q108,"We might change how we PRODUCE energy (what energy sources we use), / and how we USE energy (how much energy we use and for what). Please / indicate which best describes your opinion.",
Q109,"Which one of these, if any, do you think should be mainly / responsible for ensuring that appropriate changes are made to the / New Zealand energy system over the next 40 years?",
Q139,How positive or negative do you feel about driving an electric car?,
Q140,"Please indicate how willing you would be, if at all, to drive an / electric car in the future.",
Q141,"... what if your friends, family and neighbours drove electric / cars? How willing would you be, if at all, to drive an electric car / in the future if this was the case?",
Q142,"... what if the performance of an electric car was the same as a / petrol car (e.g. speed, range, availability of charging points)? / How willing would you be, if at all, to drive an electric car in / th...",
Q143,"... what if the cost of buying and running an electric car was / significantly less than the cost of a petrol car? How willing would / you be, if at all, to drive an electric car in the future if this...",
Q144,How positive or negative do you feel about photovoltaic panels on / the roof of your dwelling?,
Q145,"Please indicate how willing you would be, if at all, to / photovoltaic panels in the future.",
Q146,"... what if the cost of buying and running photovoltaic panels was / significantly less than the cost of a power from the national grid / ? How willing would you be, if at all, to install photovoltaic...",
Q147,Thank you for taking part in this research. Your answers are / important to understanding New Zealand's energy use and future.,
LocationLatitude,LocationLatitude,
LocationLongitude,LocationLongitude,
LocationAccuracy,LocationAccuracy,
